,Class
sample_453,BRCA
sample_454,BRCA
sample_455,KIRC
sample_456,LUAD
sample_457,BRCA
sample_458,KIRC
sample_459,BRCA
sample_460,BRCA
sample_461,LUAD
sample_462,LUAD
sample_463,KIRC
sample_464,COAD
sample_465,PRAD
sample_466,COAD
sample_467,BRCA
sample_468,KIRC
sample_469,KIRC
sample_470,BRCA
sample_471,PRAD
sample_472,KIRC
sample_473,COAD
sample_474,LUAD
sample_475,LUAD
sample_476,BRCA
sample_477,PRAD
sample_478,PRAD
sample_479,BRCA
sample_480,PRAD
sample_481,LUAD
sample_482,KIRC
sample_483,PRAD
sample_484,BRCA
sample_485,LUAD
sample_486,PRAD
sample_487,LUAD
sample_488,BRCA
sample_489,BRCA
sample_490,COAD
sample_491,LUAD
sample_492,KIRC
sample_493,COAD
sample_494,LUAD
sample_495,BRCA
sample_496,PRAD
sample_497,BRCA
sample_498,BRCA
sample_499,PRAD
sample_500,BRCA
sample_501,COAD
sample_502,BRCA
sample_503,COAD
sample_504,KIRC
sample_505,BRCA
sample_506,BRCA
sample_507,LUAD
sample_508,LUAD
sample_509,LUAD
sample_510,COAD
sample_511,KIRC
sample_512,LUAD
sample_513,LUAD
sample_514,BRCA
sample_515,BRCA
sample_516,KIRC
sample_517,PRAD
sample_518,LUAD
sample_519,PRAD
sample_520,BRCA
sample_521,KIRC
sample_522,BRCA
sample_523,KIRC
sample_524,KIRC
sample_525,PRAD
sample_526,PRAD
sample_527,LUAD
sample_528,BRCA
sample_529,KIRC
sample_530,COAD
sample_531,COAD
sample_532,BRCA
sample_533,KIRC
sample_534,KIRC
sample_535,BRCA
sample_536,BRCA
sample_537,PRAD
sample_538,KIRC
sample_539,COAD
sample_540,BRCA
sample_541,BRCA
sample_542,COAD
sample_543,LUAD
sample_544,BRCA
sample_545,BRCA
sample_546,BRCA
sample_547,KIRC
sample_548,PRAD
sample_549,LUAD
sample_550,LUAD
sample_551,BRCA
sample_552,KIRC
sample_553,COAD
sample_554,KIRC
sample_555,KIRC
sample_556,BRCA
sample_557,PRAD
sample_558,LUAD
sample_559,KIRC
sample_560,BRCA
sample_561,COAD
sample_562,LUAD
sample_563,LUAD
sample_564,LUAD
sample_565,PRAD
sample_566,LUAD
sample_567,KIRC
sample_568,BRCA
sample_569,BRCA
sample_570,COAD
sample_571,PRAD
sample_572,BRCA
sample_573,BRCA
sample_574,BRCA
sample_575,KIRC
sample_576,LUAD
sample_577,LUAD
sample_578,BRCA
sample_579,PRAD
sample_580,LUAD
sample_581,LUAD
sample_582,BRCA
sample_583,KIRC
sample_584,PRAD
sample_585,COAD
sample_586,LUAD
sample_587,PRAD
sample_588,COAD
sample_589,LUAD
sample_590,COAD
sample_591,KIRC
sample_592,KIRC
sample_593,BRCA
sample_594,BRCA
sample_595,KIRC
sample_596,KIRC
sample_597,COAD
sample_598,BRCA
sample_599,LUAD
sample_600,PRAD
sample_601,PRAD
sample_602,KIRC
sample_603,BRCA
sample_604,LUAD
sample_605,BRCA
sample_606,BRCA
sample_607,COAD
sample_608,BRCA
sample_609,PRAD
sample_610,PRAD
sample_611,BRCA
sample_612,BRCA
sample_613,COAD
sample_614,BRCA
sample_615,KIRC
sample_616,BRCA
sample_617,BRCA
sample_618,COAD
sample_619,BRCA
sample_620,PRAD
sample_621,BRCA
sample_622,BRCA
sample_623,KIRC
sample_624,PRAD
sample_625,LUAD
sample_626,BRCA
sample_627,BRCA
sample_628,KIRC
sample_629,BRCA
sample_630,BRCA
sample_631,BRCA
sample_632,BRCA
sample_633,BRCA
sample_634,COAD
sample_635,LUAD
sample_636,LUAD
sample_637,BRCA
sample_638,BRCA
sample_639,BRCA
sample_640,PRAD
sample_641,BRCA
sample_642,BRCA
sample_643,KIRC
sample_644,LUAD
sample_645,LUAD
sample_646,KIRC
sample_647,KIRC
sample_648,LUAD
sample_649,KIRC
sample_650,COAD
sample_651,BRCA
sample_652,COAD
sample_653,KIRC
sample_654,BRCA
sample_655,BRCA
sample_656,PRAD
sample_657,PRAD
sample_658,PRAD
sample_659,LUAD
sample_660,PRAD
sample_661,PRAD
sample_662,COAD
sample_663,BRCA
sample_664,BRCA
sample_665,COAD
sample_666,LUAD
sample_667,KIRC
sample_668,BRCA
sample_669,KIRC
sample_670,COAD
sample_671,BRCA
sample_672,BRCA
sample_673,BRCA
sample_674,PRAD
sample_675,LUAD
sample_676,KIRC
sample_677,BRCA
sample_678,PRAD
sample_679,KIRC
sample_680,PRAD
sample_681,BRCA
sample_682,LUAD
sample_683,KIRC
sample_684,PRAD
sample_685,LUAD
sample_686,PRAD
sample_687,PRAD
sample_688,BRCA
sample_689,KIRC
sample_690,PRAD
sample_691,LUAD
sample_692,COAD
sample_693,COAD
sample_694,BRCA
sample_695,BRCA
sample_696,BRCA
sample_697,LUAD
sample_698,KIRC
sample_699,KIRC
sample_700,KIRC
sample_701,BRCA
sample_702,LUAD
sample_703,KIRC
sample_704,PRAD
sample_705,BRCA
sample_706,LUAD
sample_707,PRAD
sample_708,BRCA
sample_709,PRAD
sample_710,BRCA
sample_711,KIRC
sample_712,BRCA
sample_713,COAD
sample_714,PRAD
sample_715,PRAD
sample_716,KIRC
sample_717,PRAD
sample_718,KIRC
sample_719,BRCA
sample_720,LUAD
sample_721,LUAD
sample_722,BRCA
sample_723,BRCA
sample_724,KIRC
sample_725,BRCA
sample_726,BRCA
sample_727,BRCA
sample_728,BRCA
sample_729,KIRC
sample_730,KIRC
sample_731,PRAD
sample_732,COAD
sample_733,KIRC
sample_734,BRCA
sample_735,BRCA
sample_736,KIRC
sample_737,BRCA
sample_738,LUAD
sample_739,BRCA
sample_740,BRCA
sample_741,PRAD
sample_742,BRCA
sample_743,PRAD
sample_744,BRCA
sample_745,COAD
sample_746,BRCA
sample_747,BRCA
sample_748,KIRC
sample_749,LUAD
sample_750,BRCA
sample_751,BRCA
sample_752,PRAD
sample_753,BRCA
sample_754,PRAD
sample_755,COAD
sample_756,BRCA
sample_757,BRCA
sample_758,BRCA
sample_759,LUAD
sample_760,BRCA
sample_761,LUAD
sample_762,BRCA
sample_763,LUAD
sample_764,KIRC
sample_765,KIRC
sample_766,COAD
sample_767,COAD
sample_768,BRCA
sample_769,BRCA
sample_770,BRCA
sample_771,LUAD
sample_772,BRCA
sample_773,LUAD
sample_774,KIRC
sample_775,BRCA
sample_776,LUAD
sample_777,KIRC
sample_778,LUAD
sample_779,LUAD
sample_780,LUAD
sample_781,KIRC
sample_782,BRCA
sample_783,PRAD
sample_784,BRCA
sample_785,BRCA
sample_786,KIRC
sample_787,BRCA
sample_788,PRAD
sample_789,KIRC
sample_790,BRCA
sample_791,BRCA
sample_792,BRCA
sample_793,BRCA
sample_794,PRAD
sample_795,LUAD
sample_796,BRCA
sample_797,LUAD
sample_798,COAD
sample_799,PRAD
sample_800,PRAD
