Rudyard Kipling,Barrack-Room Ballads
Edward Phillips Oppenheim,The Master Mummer
Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition, Volume 20
Frank Richard Stockton,The Magic Egg and Other Stories
George Eliot,The Mill on the Floss
Jerome Klapka Jerome,The Cost of Kindness
Thomas Carlyle,Sartor Resartus
John Galsworthy,To Let
Rafael Sabatini,Bardelys the Magnificent
Sir Arthur Conan Doyle,The Parasite
Daniel Defoe,A True Relation of the Apparition of one Mrs. Veal
Nathaniel Hawthorne,The Old Apple Dealer (From "Mosses From An Old Manse")
Anthony Trollope,North America Volume 2
Harold Bindloss,Blake's Burden
Jonathan Swift,The Battle of the Books
Mark Twain,What Is Man? And Other Essays
Herbert Spencer,Essays on Education and Kindred Subjects
Sir Richard Francis Burton,First Footsteps in East Africa
Mark Twain,A Double Barrelled Detective Story
William Wordsworth,The Poetical Works of William Wordsworth, Volume 1
William Wymark Jacobs,The Three Sisters, Night Watches, Part 6
Sir Arthur Conan Doyle,Sir Nigel
Robert Louis Stevenson,Tales and Fantasies
Thomas Henry Huxley,The Origin of Species
Jerome Klapka Jerome,The Second Thoughts of An Idle Fellow
William Dean Howells,The Elevator
Andrew Lang,Ballads in Blue China and Verses and Translations
Beatrix Potter,The Tailor of Gloucester
Harold Bindloss,Long Odds
Robert Southey,Colloquies on Society
Frank Richard Stockton,The Late Mrs. Null
Robert Louis Stevenson,In the South Seas
George Eliot,How Lisa Loved the King
John Morley,Critical Miscellanies, Volume 3, Essay 1, On Popular Culture
George Bernard Shaw,Augustus Does His Bit
William J Long,A Little Brother to the Bear and other Animal Stories
Alexander Pope,The Rape of the Lock and Other Poems
Andrew Lang,Homer and His Age
Philip Kindred Dick,The Gun
Sir Francis Galton,Finger Prints
Jack London,The Road
William Wymark Jacobs,Three at Table, The Lady of the Barge and Others, Part 12
Bret Harte,Her Letter His Answer & Her Last Letter
Nathaniel Hawthorne,Little Annie's Ramble (From "Twice Told Tales")
William Butler Yeats,Where There is Nothing
Stephen Leacock,The Dawn of Canadian History - A Chronicle of Aboriginal Canada
William Wymark Jacobs,Captain Rogers, The Lady of the Barge and Others, Part 7
George Bernard Shaw,Misalliance
Edgar Rice Burroughs,The Outlaw of Torn
Thomas Henry Huxley,Coral and Coral Reefs
Charles Kingsley,The Good News of God
P G Wodehouse,Jill the Reckless
Jack London,Smoke Bellew
Stephen Leacock,My Discovery of England
O Henry,Options
Henry Rider Haggard,Benita, An African Romance
Jane Austen,Mansfield Park
Henry Rider Haggard,Allan's Wife
Zane Grey,Tales of Fishes
R M Ballantyne,Sunk at Sea
R M Ballantyne,Saved by the Lifeboat
Mark Twain,Adventures of Huckleberry Finn, Complete
Mark Twain,The Adventures of Tom Sawyer, Complete
Jerome Klapka Jerome,Novel Notes
G K Chesterton,All Things Considered
Sir Arthur Conan Doyle,The Captain of the Pole-Star and Other Tales
John Keats,Letters of John Keats to His Family and Friends
Jack London,The People of the Abyss
Anthony Trollope,The Landleaguers
William Dean Howells,American Literary Centers
Bret Harte,A Drift from Redwood Camp
Mark Twain,The $30,000 Bequest and Other Stories
Herbert George Wells,Tono Bungay
R M Ballantyne,The Pioneers
Thomas Carlyle,Life of Robert Burns
Sir Arthur Conan Doyle,The Mystery of Cloomber
James Otis,A District Messenger Boy and a Necktie Party
Rudyard Kipling,Indian Tales
Harold Bindloss,Masters of the Wheat-Lands
Herbert George Wells,Ann Veronica
Jack London,The Game
Nathaniel Hawthorne,The Toll Gatherer's Day (From "Twice Told Tales")
Henry James,The Marriages
William Butler Yeats,The Celtic Twilight
Bram Stoker,Dracula's Guest
Charles Dickens,The Magic Fishbone
Mark Twain,Extracts From Adam's Diary
John Milton,Areopagitica
Nathaniel Hawthorne,The Man of Adamant
Lyman Frank Baum,Mary Louise in the Country
Edward Phillips Oppenheim,The Double Traitor
Charlotte Mary Yonge,A Book of Golden Deeds
Robert Louis Stevenson,The Dynamiter
Daniel Defoe,A Vindication of the Press
Harriet Elizabeth Beecher Stowe,Lady Byron Vindicated
Harold Bindloss,Delilah of the Snows
William Wymark Jacobs,Blundell's Improvement, Odd Craft, Part 3
Charlotte Mary Yonge,The Two Guardians
Harriet Elizabeth Beecher Stowe,The May Flower, and Miscellaneous Writings
P G Wodehouse,Psmith, Journalist
Charlotte Mary Yonge,My Young Alcides
William Somerset Maugham,The Explorer
Edward Stratemeyer,The Rover Boys In The Mountains
Anthony Trollope,La Vendée
Edward Phillips Oppenheim,The Vanished Messenger
Jacob Abbott,Cyrus the Great
Winston Churchill,A Far Country, Complete
Thomas Henry Huxley,The Past Condition of Organic Nature
Henry James,Within the Rim and Other Essays
William Butler Yeats,The Wind Among the Reeds
Jack London,The Faith of Men
Grant Allen,Biographies of Working Men
John Morley,The Life of William Ewart Gladstone (Vol 1 of 3)
William Butler Yeats,Stories of Red Hanrahan
Charles Kingsley,True Words for Brave Men
Hamlin Garland,The Eagle's Heart
James Fenimore Cooper,The Last of the Mohicans
Sir Walter Scott,The Talisman
William Dean Howells,Imaginary Interviews
William Wordsworth,The Poetical Works of William Wordsworth, Volume 2
Charles Dickens,The Trial of William Tinkling
O Henry,The Gentle Grafter
Oscar Wilde,La Sainte Courtisane
Bret Harte,East and West
Robert Louis Stevenson,Essays of Robert Louis Stevenson
Hamlin Garland,Wayside Courtships
William Wymark Jacobs,In The Library, The Lady of the Barge and Others, Part 6
Lord Byron,The Works of Lord Byron. Vol. 7
Charlotte Mary Yonge,More Bywords
Howard Pyle,Twilight Land
Robert Louis Stevenson,A Footnote to History
Edmund Burke,The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)
George Alfred Henty,With Kitchener in the Soudan
Oscar Wilde,For Love of the King
Henry James,The Turn of the Screw
James Fenimore Cooper,Precaution
R M Ballantyne,The Rover of the Andes
John Keats,Poems 1817
Thornton Waldo Burgess,The Adventures of Grandfather Frog
John Ruskin,The Ethics of the Dust
Wilkie Collins,Heart and Science
Lyman Frank Baum,Glinda of Oz
Hector Hugh Munro,The Toys of Peace
Henry Rider Haggard,The People Of The Mist
William Dean Howells,Last Days in a Dutch Hotel
Zane Grey,Betty Zane
Sir Walter Scott,Woodstock; or, The Cavalier
James Matthew Barrie,My Lady Nicotine
Charles Kingsley,The Roman and the Teuton
Rudyard Kipling,The Kipling Reader
Ambrose Bierce,Can Such Things Be?
Ambrose Bierce,The Devil's Dictionary
James Fenimore Cooper,Mercedes of Castile
Herbert George Wells,The Salvaging Of Civilisation
Jack London,Adventure
Henry James,The Beldonald Holbein
Lewis Carroll,Phantasmagoria and Other Poems
Mary Shelley,The Last Man
Winston Churchill,The Dwelling Place of Light, Complete
Herbert George Wells,Twelve Stories and a Dream
John Stuart Mill,A System Of Logic, Ratiocinative And Inductive
Robert Burns,The Letters of Robert Burns
Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition, Volume 3
Washington Irving,The Adventures of Captain Bonneville
William Wymark Jacobs,Bill's Lapse, Odd Craft, Part 4
William Wymark Jacobs,Sam's Ghost, Deep Waters, Part 4
Mark Twain,Tom Sawyer Abroad
Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition, Volume 14
Zane Grey,The Light of Western Stars
G K Chesterton,Varied Types
Daniel Defoe,The Further Adventures of Robinson Crusoe
Andrew Lang,The Book of Dreams and Ghosts
Herbert George Wells,The Island of Doctor Moreau
John Galsworthy,Fraternity
Zane Grey,The Desert of Wheat
Thornton Waldo Burgess,Old Mother West Wind
Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition, Volume 23
Henry Rider Haggard,Allan and the Holy Flower
Oscar Wilde,Miscellanies
Zane Grey,The Young Pitcher
William Wymark Jacobs,Odd Charges, Odd Craft, Part 13
Andrew Lang,The Lilac Fairy Book
Edward Stratemeyer,Dave Porter on Cave Island
Thomas Henry Huxley,Collected Essays, Volume V
Bret Harte,The Queen of the Pirate Isle
R M Ballantyne,The Story of the Rock
John Dryden,Discourses on Satire and Epic Poetry
William Dean Howells,My Mark Twain
P G Wodehouse,The Prince and Betty
Anthony Trollope,Mrs. General Talboys
James Matthew Barrie,What Every Woman Knows
T S Eliot,Poems
Thomas Hardy,The Well-Beloved
Daniel Defoe,The Consolidator
William Dean Howells,Oliver Wendell Holmes
Abraham Lincoln,Speeches and Letters of Abraham Lincoln, 1832-1865
Anthony Trollope,Framley Parsonage
Joseph Conrad,Nostromo, A Tale of the Seaboard
Jack London,The Little Lady of the Big House
P G Wodehouse,Mike and Psmith
R M Ballantyne,The Life of a Ship
Thornton Waldo Burgess,The Adventures of Reddy Fox
Grant Allen,What's Bred In the Bone
William Butler Yeats,Four Years
Edward Stratemeyer,The Boy Land Boomer
James Matthew Barrie,An Edinburgh Eleven
Edward Stratemeyer,The Young Bridge-Tender
Henry James,Italian Hours
Samuel Taylor Coleridge,Confessions of an Inquiring Spirit
Nathaniel Hawthorne,Passages from the French and Italian Notebooks, Complete
Beatrix Potter,The Tale of the Pie and the Patty Pan
Thomas Hardy,The Return of the Native
Daniel Defoe,Memoirs of a Cavalier
Harriet Elizabeth Beecher Stowe,Uncle Tom's Cabin
Abraham Lincoln,The Writings of Abraham Lincoln, Volume 4
Henry James,The Tragic Muse
O Henry,The Voice of the City
Andrew Lang,Shakespeare, Bacon and the Great Unknown
Thomas Hardy,Time's Laughingstocks and Other Verses
Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition, Volume 13
James Russell Lowell,Among My Books, First Series
William Henry Hudson,The Naturalist in La Plata
Edward Stratemeyer,Young Auctioneers
William Henry Hudson,Far Away and Long Ago
John Dryden,Dryden's Works Vol. 2 (of 18)
Robert Burns,Tam O'Shanter
Rudyard Kipling,With The Night Mail
Sir Arthur Conan Doyle,Tales of Terror and Mystery
Henry David Thoreau,Cape Cod
Charles Dickens,Charles Dickens' Children Stories
Harold Bindloss,Hawtrey's Deputy
Grant Allen,The Great Taboo
William Dean Howells,Short Stories and Essays
John Galsworthy,Beyond
Edward Stratemeyer,The Rover Boys in the Air
Charlotte Mary Yonge,Modern Broods
Nathaniel Hawthorne,Passages from a Relinquished Work (From "Mosses From An Old Manse")
George Eliot,Daniel Deronda
George Alfred Henty,Condemned as a Nihilist
Henry James,The Letters of Henry James, Volume 2
Bret Harte,The Luck of Roaring Camp and Other Tales
Lord Tennyson,Enoch Arden, &c
Thomas Henry Huxley,Darwiniana Essays, Volume 2
Henry James,Confidence
George Eliot,Brother Jacob
Thornton Waldo Burgess,Mrs. Peter Rabbit
Edward Phillips Oppenheim,Mr. Grex of Monte Carlo
Albert Einstein,Sidelights on Relativity
Thornton Waldo Burgess,Mother West Wind "Where" Stories
John Ruskin,The Two Paths
Bram Stoker,The Lair of the White Worm
William Dean Howells,A Modern Instance
Edgar Rice Burroughs,Tarzan the Untamed
Richard Brinsley Sheridan,Scarborough and the Critic
Mark Twain,Roughing It
Stephen Leacock,Sunshine Sketches of a Little Town
Edgar Allan Poe,The Works of Edgar Allan Poe Volume 4
Nathaniel Hawthorne,Fanshawe
Nathaniel Hawthorne,The Ancestral Footstep (fragment)
Charlotte Mary Yonge,Magnum Bonum
William Dean Howells,The Story of a Play
Jerome Klapka Jerome,Tea-table Talk
Hamlin Garland,The Tyranny of the Dark
Thomas Carlyle,History of Friedrich II of Prussia, Volume 1
R M Ballantyne,In the Track of the Troops
Robert Louis Stevenson,A Child's Garden of Verses, Verse 154
G K Chesterton,Twelve Types
Thomas Henry Huxley,The Reception of the 'Origin of Species'
Henry James,The Madonna of the Future
Charles Kingsley,David
Thomas Carlyle,Past and Present
Henry David Thoreau,Wild Apples
Sir Arthur Conan Doyle,Songs of Action
Lord Tennyson,The Early Poems of Alfred Lord Tennyson
Henry Rider Haggard,Elissa
Mark Twain,Goldsmith's Friend Abroad Again
Frank Richard Stockton,Stories of New Jersey
Hector Hugh Munro,Reginald
William Dean Howells,Stories Of Ohio
Charles Kingsley,Twenty-Five Village Sermons
Robert Louis Stevenson,The Sea Fogs
William Wymark Jacobs,Stepping Backwards, Night Watches, Part 5
Charles Darwin,The Formation of Vegetable Mould through the action of worms with observations of their habits
Robert Browning,Men and Women
Robert Louis Stevenson,Underwoods
Robert Louis Stevenson,Memories and Portraits
Charles Kingsley,Daily Thoughts
Washington Irving,Oliver Goldsmith
Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition, Volume 5
Abraham Lincoln,The Emancipation Proclamation
Herbert George Wells,The War in the Air
P G Wodehouse,The Intrusion of Jimmy
John Milton,Paradise Lost
George Alfred Henty,A Search For A Secret, a Novel, Volume 3
Henry James,Georgina's Reasons
D H Lawrence,Amores
Charlotte Mary Yonge,The Daisy Chain
Ezra Pound,Certain Noble Plays of Japan
Nathaniel Hawthorne,Main Street
George Bernard Shaw,Arms and the Man
Zane Grey,The Redheaded Outfield and Other Baseball Stories
George Alfred Henty,Through Russian Snows
Rafael Sabatini,Mistress Wilding
Rudyard Kipling,The Day's Work, Volume 1
Charles Kingsley,The Hermits
Harold Bindloss,Lorimer of the Northwest
P G Wodehouse,A Wodehouse Miscellany
G K Chesterton,The Barbarism of Berlin
Charles Darwin,The Effects of Cross & Self-Fertilisation in the Vegetable Kingdom
John Stuart Mill,The Subjection of Women
Thomas Henry Huxley,On the Relations of Man to the Lower Animals
Charles Dickens,The Perils of Certain English Prisoners
George Bernard Shaw,Getting Married
James Fenimore Cooper,Homeward Bound
R M Ballantyne,Hudson Bay
Edgar Rice Burroughs,A Princess of Mars
Anthony Trollope,The Belton Estate
Frank Richard Stockton,The Girl at Cobhurst
P G Wodehouse,Right Ho, Jeeves
Sir Arthur Conan Doyle,The Vital Message
William Wymark Jacobs,The Boatswain's Mate, Captains All, Book 2
Edward Phillips Oppenheim,The Profiteers
John Morley,On Compromise
Thomas Carlyle,The Life of John Sterling
Beatrix Potter,The Tale of Mr. Tod
Anthony Trollope,The House of Heine Brothers, in Munich
Andrew Lang,Tales of Troy and Greece
Edward Phillips Oppenheim,The Great Prince Shan
Thomas Carlyle,History of Friedrich II of Prussia, Volume 8
Louisa May Alcott,A Modern Cinderella
Charles Kingsley,Sanitary and Social Lectures and Essays
Daniel Defoe,Everybody's Business is Nobody's Business
Lyman Frank Baum,Little Wizard Stories of Oz
Lyman Frank Baum,The Master Key
Jacob Abbott,Rollo's Philosophy. [Air]
Thomas Henry Huxley,Hume
Bret Harte,Stories in Light and Shadow
Baronness Orczy,Castles in the Air
Lord Byron,The Works of Lord Byron: Letters and Journals. Vol. 1
Samuel Taylor Coleridge,Biographia Literaria
Henry Rider Haggard,Stella Fregelius
Thornton Waldo Burgess,Old Granny Fox
Mark Twain,The Prince and The Pauper, Complete
Anthony Trollope,Life of Cicero Volume Two
George Alfred Henty,Tales of Daring and Danger
Philip Kindred Dick,Beyond Lies the Wub
Harold Bindloss,Vane of the Timberlands
Edward Phillips Oppenheim,The Evil Shepherd
Bret Harte,Cressy
Lewis Carroll,A Tangled Tale
Jack London,A Son Of The Sun
Benjamin Franklin,Autobiography of Benjamin Franklin, Version 4
Edward Stratemeyer,Boys of The Fort
D H Lawrence,Look! We Have Come Through!
Jerome Klapka Jerome,Three Men in a Boat
Louisa May Alcott,Lulu's Library, Volume II
Sir Winston Churchill,The River War
Henry Rider Haggard,The Mahatma and the Hare
Nathaniel Hawthorne,The Prophetic Pictures (From "Twice Told Tales")
Anthony Trollope,Ayala's Angel
John Morley,Critical Miscellanies, Volume 1, Essay 4, Macaulay
James Otis,Under the Liberty Tree
Rafael Sabatini,Love-at-Arms
Rudyard Kipling,Captains Courageous
Henry James,What Maisie Knew
Edward Stratemeyer,The Rover Boys on the River
Rafael Sabatini,The Strolling Saint
John Morley,Diderot and the Encyclopædists (Vol 1 of 2)
Thornton Waldo Burgess,The Adventures of Old Mr. Toad
Charles Dickens,Hunted Down
William Dean Howells,Dr. Breen's Practice
Zane Grey,The U.P. Trail
R M Ballantyne,Personal Reminiscences in Book Making
Sir Walter Scott,Guy Mannering
Bret Harte,Complete Poetical Works of Bret Harte
Nathaniel Hawthorne,The Lily's Quest (From "Twice Told Tales")
Jerome Klapka Jerome,Diary of a Pilgrimage
Sir Arthur Conan Doyle,Beyond the City
William J Long,English Literature
Thomas Hardy,A Group of Noble Dames
George Alfred Henty,The Lost Heir
G K Chesterton,Manalive
Sir Winston Churchill,The Story of the Malakand Field Force
R M Ballantyne,The Pirate City
William Henry Hudson,The Purple Land
William Dean Howells,Italian Journeys
James Fenimore Cooper,The Monikins
William Butler Yeats,Reveries over Childhood and Youth
Henry James,Lady Barbarina
Baronness Orczy,The Tangled Skein
Herbert George Wells,The World Set Free
Henry James,A London Life and Other Tales
Charles Dickens,Somebody's Luggage
Rafael Sabatini,The Historical Nights' Entertainment, First Series
P G Wodehouse,The Gold Bat
John Milton,Minor Poems by Milton
Thornton Waldo Burgess,The Adventures of Buster Bear
Lyman Frank Baum,Mary Louise
Andrew Lang,The Grey Fairy Book
Walter de la Mare,Collected Poems 1901-1918 in Two Volumes Volume 1
William Wymark Jacobs,Odd Man Out, Sailor's Knots, Part 6
Robert Louis Stevenson,Travels with a Donkey in the Cevennes
Wilkie Collins,Basil
John Galsworthy,The Country House
William Wymark Jacobs,A Spirit of Avarice, Odd Craft, Part 11
James Russell Lowell,My Garden Acquaintance
Lucy Maud Montgomery,Anne Of The Island
Jack London,The God of His Fathers
Edward Stratemeyer,First at the North Pole
William Butler Yeats,Per Amica Silentia Lunae
Jerome Klapka Jerome,Told After Supper
Jacob Abbott,Pyrrhus
William Dean Howells,Christmas Every Day and Other Stories
Howard Pyle,Otto of the Silver Hand
Samuel Taylor Coleridge,Coleridge's Literary Remains, Volume 4
George Alfred Henty,For Name and Fame
Bret Harte,Mrs. Skaggs's Husbands and Other Stories
James Matthew Barrie,Better Dead
Lyman Frank Baum,The Tin Woodman of Oz
Harold Bindloss,The League of the Leopard
R M Ballantyne,Handbook to the new Gold-fields
William Dean Howells,Staccato Notes of a Vanished Summer
Bret Harte,Thankful Blossom
O Henry,Strictly Business
Edward Stratemeyer,True to Himself
Robert Southey,Poems, 1799
Lewis Carroll,Symbolic Logic
Robert Louis Stevenson,The Works of Robert Louis Stevenson - Swanston Edition, Volume 24
Henry Rider Haggard,Pearl-Maiden
Edward Stratemeyer,The Rover Boys in Southern Waters
Edgar Rice Burroughs,The Gods of Mars
R M Ballantyne,The Dog Crusoe and his Master
Mark Twain,Personal Recollections of Joan of Arc, Volume 2
William Dean Howells,The Landlord at Lion's Head
G K Chesterton,The Ballad of St. Barbara
James Otis,Messenger No. 48
Charlotte Mary Yonge,Beechcroft at Rockstone
Rudyard Kipling,The Eyes of Asia
Charles Dickens,Our Mutual Friend
William Wymark Jacobs,Family Cares, Deep Waters, Part 7
Edward Phillips Oppenheim,The Traitors
George Alfred Henty,Dorothy's Double, Volume 2
William Wymark Jacobs,Sentence Deferred, Sailor's Knots, Part 4
Daniel Defoe,A Journal of the Plague Year
Rudyard Kipling,The Man Who Would Be King
Beatrix Potter,The Story of Miss Moppet
Robert Louis Stevenson,New Poems
D H Lawrence,Bay
Andrew Lang,John Knox and the Reformation
Andrew Lang,Oxford
William Makepeace Thackeray,The Tremendous Adventures of Major Gahagan
Thomas Carlyle,History of Friedrich II of Prussia, Volume 7
Charles Dickens,Hard Times
George Alfred Henty,With Buller in Natal
Edward Stratemeyer,Dave Porter in the Far North
Harold Bindloss,Winston of the Prairie
Louisa May Alcott,Comic Tragedies
Henry Rider Haggard,Red Eve
Daniel Defoe,Reasons against the Succession of the House of Hanover
John Morley,Critical Miscellanies, Volume 1, Essay 2, Carlyle
John Keats,Keats: Poems Published in 1820
Joseph Conrad,The Arrow of Gold
Herbert George Wells,Anticipations
Lucy Maud Montgomery,Lucy Maud Montgomery Short Stories, 1907 to 1908
Stephen Leacock,Frenzied Fiction
Sir Walter Scott,The Monastery
Rafael Sabatini,Scaramouche
Rudyard Kipling,Departmental Ditties and Barrack Room Ballads
Walt Whitman,Poems By Walt Whitman
Edward Phillips Oppenheim,The Great Secret
Daniel Defoe,Of Captain Mission
William Wymark Jacobs,Cupboard Love, The Lady of the Barge and Others, Part 5
George Bernard Shaw,Mrs. Warren's Profession
Harold Bindloss,The Buccaneer Farmer
Stephen Leacock,Literary Lapses
Andrew Lang,Ban and Arriere Ban
D H Lawrence,The White Peacock
John Galsworthy,Strife
Bertrand Russell,Mysticism and Logic and Other Essays
Rudyard Kipling,Puck of Pook's Hill
Lyman Frank Baum,A Kidnapped Santa Claus
John Dryden,Dryden's Works Vol. 6 (of 18)
James Matthew Barrie,The Admirable Crichton
William Butler Yeats,The Green Helmet and Other Poems
P B Shelley,A Defence of Poetry and Other Essays
Charles Dickens,The Mystery of Edwin Drood
Stephen Leacock,The Hohenzollerns in America
Charles Kingsley,Sir Walter Raleigh and his Time
William Henry Hudson,Fan
William Wymark Jacobs,Prize Money, Sailor's Knots, Part 10
Samuel Taylor Coleridge,Biographia Epistolaris, Volume 1
Andrew Lang,In the Wrong Paradise
Andrew Lang,Pickle the Spy
George Washington,State of the Union Addresses of George Washington
Henry Rider Haggard,Cleopatra
Abraham Lincoln,The Writings of Abraham Lincoln, Volume 5: 1858-1862
Anthony Trollope,The Golden Lion of Granpere
Henry James,The Bostonians, Volume 1
John Ruskin,Giotto and his works in Padua
Thomas Carlyle,History of Friedrich II of Prussia, Volume 13
R M Ballantyne,The Battery and the Boiler
William Butler Yeats,The Secret Rose
Thomas Hardy,Poems of the Past and the Present
Baronness Orczy,"Unto Caesar"
John Galsworthy,The Burning Spear
Winston Churchill,Coniston, Complete
Rafael Sabatini,The Historical Nights' Entertainment, Second Series
Anthony Trollope,Thackeray
George Alfred Henty,The Lion of Saint Mark
Sir William Schwenck Gilbert,Bab Ballads and Savoy Songs
Edward Stratemeyer,The Rover Boys in Business
Edward Stratemeyer,Out with Gun and Camera
Henry James,A  Passionate Pilgrim
Charles Kingsley,Health and Education
William Dean Howells,My Literary Passions
Charlotte Mary Yonge,Dynevor Terrace (Vol. II)
Edward Phillips Oppenheim,The Missioner
William Wymark Jacobs,The Well, The Lady of the Barge and Others, Part 4
Bret Harte,Devil's Ford
Edward Stratemeyer,The Rover Boys at College
Charlotte Mary Yonge,That Stick
Bret Harte,In a Hollow of the Hills
George Alfred Henty,Held Fast For England
Hamlin Garland,The Light of the Star
Andrew Lang,How to Fail in Literature
William Wymark Jacobs,Bill's Paper Chase, Lady of the Barge and Others, Part 3
Jacob Abbott,Jonas on a Farm in Winter
Thomas Henry Huxley,Mr. Gladstone and Genesis
George Bernard Shaw,The Doctor's Dilemma
Anthony Trollope,Doctor Thorne
Mary Stewart Daggett,The Higher Court
Grant Allen,Anglo-Saxon Britain
Rudyard Kipling,Soldiers Three, Part 2
John Locke,Second Treatise of Government
Edward Stratemeyer,Dave Porter and His Rivals
Jonathan Swift,The Prose Works of Jonathan Swift, D.D., Volume 9
Hamlin Garland,They of the High Trails
Howard Pyle,Men of Iron
Herbert George Wells,The Country of the Blind, And Other Stories
Charlotte Mary Yonge,The Long Vacation
John Morley,Critical Miscellanies, Volume 2, Essay 2, Turgot
Frank Richard Stockton,Round-about Rambles in Lands of Fact and Fancy
Hamlin Garland,Victor Ollnee's Discipline
